state,StateAbbr,PlaceName,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,BPMED_AdjPrev,CANCER_AdjPrev,CHD_AdjPrev,CHECKUP_AdjPrev,CHOLSCREEN_AdjPrev,COLON_SCREEN_AdjPrev,COPD_AdjPrev,COREM_AdjPrev,COREW_AdjPrev,DENTAL_AdjPrev,DIABETES_AdjPrev,HIGHCHOL_AdjPrev,LPA_AdjPrev,MAMMOUSE_AdjPrev,OBESITY_AdjPrev,PAPTEST_AdjPrev,PHLTH_AdjPrev,STROKE_AdjPrev,Geolocation,health_exp,region,division
Alabama,AL,Birmingham,212237,21.4,45.9,70.5,6.1,7.6,77.3,74.4,62.7,9.4,30.3,27.9,49.1,16.1,35.4,31.7,79.7,39,80.1,18.3,5,"(33.5275663773, -86.7988174678)",7281,South,East South Central
Alabama,AL,Hoover,81619,10.2,31.9,63.8,6.8,5.4,73.9,77,73.6,5.3,42.3,42.2,72.7,7.7,35,17.8,82.1,24.7,86.3,10,2.2,"(33.3767602729, -86.8051937568)",7281,South,East South Central
Alabama,AL,Huntsville,180105,16.3,36.7,66.9,6.5,6.7,70.8,76.2,65.8,7.5,39.7,36.9,60.5,10.7,35.8,24.9,80,32,83.5,13.9,3.2,"(34.6989692671, -86.6387042882)",7281,South,East South Central
Alabama,AL,Mobile,195111,19.1,43,69.3,6.5,7.6,72.4,73.2,62.7,8.7,34.3,32.2,52.6,13.8,37.6,27.4,80.1,37.6,81.9,16.3,4.1,"(30.6776248648, -88.1184482714)",7281,South,East South Central
Alabama,AL,Montgomery,205764,18.5,40.6,70.3,6.4,7.2,75.2,75.1,63.3,8.6,32.1,27.7,57.1,13.3,36.9,27.9,80.2,36.8,83,16.2,4.1,"(32.3472645333, -86.2677059552)",7281,South,East South Central
Alabama,AL,Tuscaloosa,90468,18.5,40,69,6.5,7.4,74.3,74.4,64.2,9.1,36,33.7,56.4,13.6,38.7,28.6,79.8,38.5,81,16.6,4.1,"(33.2336083951, -87.5268004073)",7281,South,East South Central
Alaska,AK,Anchorage,291826,14.5,30.2,49,6.2,5,60.7,70.2,60.3,5,33.4,29,66,8.2,32.9,19.2,70.4,27.7,79.9,9.9,2.6,"(61.149868731, -149.111113424)",11064,West,Pacific
Arizona,AZ,Avondale,76238,21.4,28.4,56,5.5,6.1,64.8,70.7,59,6.5,29.1,27.5,56.7,11,33.9,24.3,77.2,30.1,80.3,13.5,3.1,"(33.3858367405, -112.323626619)",6452,West,Mountain
Arizona,AZ,Chandler,236123,12.3,26,54.8,6,5,66.1,72.8,67,5.3,34.5,35.2,68,7.7,33.1,17.4,80.3,24.5,83.5,9.7,2.4,"(33.28318981, -111.852210033)",6452,West,Mountain
Arizona,AZ,Gilbert,208453,9.7,25.3,54.2,6.1,4.8,66.3,73.8,69,4.9,35.7,36.9,71.2,7.1,32.8,15.6,81.2,23.5,85,8.8,2.2,"(33.310149392, -111.746237467)",6452,West,Mountain
Arizona,AZ,Glendale,226721,20.5,28.3,56.4,5.9,6.1,64.3,70.3,60.4,7.2,31.5,30.4,57.1,9.9,34.1,23.7,76.7,29.6,78.6,13.5,3.1,"(33.5796123089, -112.225306421)",6452,West,Mountain
Arizona,AZ,Mesa,439041,17.1,27.5,55.7,6.1,5.9,64.4,71.1,62.9,6.9,33.1,32.4,60.6,8.9,33.8,21.3,77.5,28.3,80.4,12.3,2.9,"(33.4022837359, -111.718721181)",6452,West,Mountain
Arizona,AZ,Peoria,154065,13.2,26.1,54.8,6.2,5.3,65.4,72.9,65.7,6,34.4,34.6,65.8,7.9,33.1,18.6,79.1,26,82.7,10.6,2.5,"(33.7847206422, -112.298680584)",6452,West,Mountain
Arizona,AZ,Phoenix,1445632,22.2,28.9,56.7,5.9,6.1,64.1,69.7,60.1,7.1,31.7,30.7,56.4,10.2,34.3,24.1,76.7,30.1,78.5,13.8,3.1,"(33.5724138695, -112.088995222)",6452,West,Mountain
Arizona,AZ,Scottsdale,217385,9.3,25.6,54.4,6.3,4.7,66.1,73.3,70.1,4.9,37.1,37.7,72.3,6.5,33,14.6,81.4,23.2,85.1,8.5,2.1,"(33.6872493651, -111.865085877)",6452,West,Mountain
Arizona,AZ,Surprise,117517,13.4,26.3,55,6.2,5.3,65.5,72.9,66.3,5.9,35.1,35.3,65.6,7.9,33.1,18.5,79.6,26.3,82.9,10.5,2.5,"(33.6803835177, -112.452218439)",6452,West,Mountain
Arizona,AZ,Tempe,161719,14.7,28.2,56.4,6.1,5.5,64.9,70.4,64.5,6.2,34,33.5,62.9,8.5,34.1,19.4,78.8,27.2,80.5,11.3,2.7,"(33.3882640307, -111.931802302)",6452,West,Mountain
Arizona,AZ,Tucson,520116,20.6,29.6,56.2,6,6.1,62.9,69.9,58,7.4,29.3,30.1,56.9,10,35,22.6,73.5,30.4,75.7,13.8,3.1,"(32.1567244483, -110.877085494)",6452,West,Mountain
